吉林	200604	316784.25	66580.89	229646.51	7614.29	12942.55
黑 龙 江	200604	605516.57	83888.67	488597.51	10957.75	22072.65
安徽	200604	659015.04	128691.24	493673.55	10559.83	26090.41
江西	200604	354149.29	68828.52	253534.04	14336.21	17450.51
河南	200604	935723.18	147683.95	722171.54	21344.86	44522.83
湖北	200604	584830.97	135510.48	400550.22	14212.15	34558.11
湖南	200604	526086.94	117102.41	362856.11	19836.07	26292.34
重庆	200604	306032.62	70315.69	206563.34	11214.53	17939.07
四川	200604	863488.21	197300.98	575442.85	32056.28	58688.09
贵州	200604	177096.26	58353.74	100931.93	10412.41	7398.18
云南	200604	317141.80	117391.88	165789.41	14926.29	19034.23
西藏	200604	6612.12	6312.42	0.00	299.69	0.00
陕西	200604	400176.16	96269.17	278517.43	9688.68	15700.89
甘肃	200604	201024.25	49691.84	137303.77	4465.89	9562.76
青海	200604	26884.78	13934.18	10856.64	805.45	1288.51
宁夏	200604	58700.51	20973.26	27815.00	2002.29	7909.96
新疆	200604	313629.31	78120.88	200927.68	9461.54	25119.21
内 蒙 古	200604	226097.47	70569.55	140565.31	7590.74	7371.88
广西	200604	290255.29	88911.76	176692.39	12686.23	11964.91
集团、总公司本级	200604	61198.00	60860.05	287.32	-135.44	186.08
北京	200605	1727176.84	304095.96	1212200.16	30792.76	180087.96
天津	200605	458865.66	107960.94	305739.57	7945.76	37219.40
河北	200605	1081607.10	253807.07	743488.81	22628.17	61683.05
辽宁	200605	838824.28	191334.79	583526.31	13967.58	49995.60
大连	200605	283270.51	82821.30	171180.66	6672.27	22596.28
上海	200605	1806611.89	459671.44	1181937.91	38383.07	126619.46
江苏	200605	2517199.71	492024.57	1841312.53	51972.12	131890.48
浙江	200605	1349815.20	423618.05	826049.16	37802.96	62345.03
宁波	200605	244049.15	108324.13	116213.59	6636.12	12875.31
福建	200605	643751.24	166580.91	412412.15	17783.38	46974.80
厦门	200605	113314.71	37260.57	59227.63	4082.89	12743.63
山东	200605	1390475.52	344663.52	934970.10	31342.32	79499.57
青岛	200605	249463.20	83891.36	131340.55	5712.84	28518.46
广东	200605	1971396.54	516296.34	1264013.39	63889.39	127197.43
深圳	200605	553071.42	225300.30	270232.77	23661.70	33876.66
海南	200605	78249.30	33444.00	39385.79	2096.38	3323.12
山西	200605	644122.31	149100.17	462441.73	11724.80	20855.61
吉林	200605	395303.47	82310.96	286577.02	9494.98	16920.50
黑 龙 江	200605	731057.36	100596.95	589052.75	13088.96	28318.69
安徽	200605	782872.18	158040.56	577993.23	12764.70	34073.69
江西	200605	437339.78	83838.71	316501.79	16150.57	20848.70
河南	200605	1149556.34	187433.10	882506.98	25737.70	53878.55
湖北	200605	700218.75	164388.06	475332.83	17251.39	43246.47
湖南	200605	641855.53	142445.96	438843.48	23362.63	37203.45
重庆	200605	383005.10	87670.88	256904.07	14339.39	24090.76
四川	200605	1044341.29	244009.62	688878.91	38425.56	73027.19
贵州	200605	213332.74	70229.27	121600.10	12211.25	9292.10
云南	200605	391166.44	145436.61	202320.76	18032.18	25376.89
西藏	200605	8171.39	7734.68	0.00	436.71	0.00
陕西	200605	488852.63	120590.79	334742.67	11983.99	21535.19
甘肃	200605	243856.75	61394.59	164676.68	5521.05	12264.43
青海	200605	34403.52	16800.46	14525.28	1171.66	1906.12
宁夏	200605	76844.92	25124.14	37834.08	2536.68	11350.01
新疆	200605	389211.07	106819.21	236822.44	12130.20	33439.22
内 蒙 古	200605	280127.52	85964.23	174278.84	9698.59	10185.85
广西	200605	345743.62	105540.26	210529.15	14854.97	14819.24
集团、总公司本级	200605	77036.34	76524.38	429.21	-120.05	202.82
北京	200606	2094520.93	398358.71	1429417.38	38046.59	228698.25
天津	200606	565276.33	135567.43	370830.61	10520.67	48357.62
河北	200606	1391031.00	344263.97	936872.83	30180.91	79713.30
辽宁	200606	1079048.45	259376.95	738541.77	19542.09	61587.65
大连	200606	354707.20	107880.72	209658.79	8410.18	28757.52
上海	200606	2193992.68	565236.41	1421478.05	47015.98	160262.24
江苏	200606	2962686.45	620579.00	2110142.58	66034.36	165930.51
浙江	200606	1651271.37	541918.19	983153.37	49148.75	77051.06
宁波	200606	303142.48	137500.46	140548.44	8313.68	16779.90
福建	200606	801601.24	207100.01	510819.76	22083.61	61597.86
厦门	200606	143062.00	48281.84	73115.49	5067.40	16597.27
山东	200606	1751524.01	465008.31	1136644.60	39230.26	110640.82
青岛	200606	319461.42	108515.42	168220.74	7407.14	35318.12
广东	200606	2482223.35	685702.65	1557273.20	80715.61	158531.89
深圳	200606	696785.28	298965.60	327032.24	28543.58	42243.85
海南	200606	96480.46	39524.64	49766.51	2671.64	4517.66
山西	200606	811732.37	200333.90	567188.68	15605.69	28604.10
吉林	200606	507545.61	115731.63	357042.04	11582.01	23189.94
黑 龙 江	200606	910384.05	140799.29	717163.60	16943.68	35477.48
安徽	200606	942282.30	202811.44	681491.01	15801.87	42177.98
江西	200606	547709.20	108971.40	393555.63	19153.06	26029.11
河南	200606	1450017.48	255076.47	1089597.44	32703.60	72639.97
湖北	200606	892325.38	220241.02	591903.22	23384.52	56796.63
湖南	200606	810802.70	186890.02	545118.94	31212.88	47580.86
重庆	200606	488638.79	117689.53	321941.31	18279.32	30728.63
四川	200606	1272350.00	313426.94	819175.28	46764.81	92982.98
贵州	200606	270528.29	88576.54	153723.27	15750.83	12477.65
云南	200606	513614.07	190701.29	263528.81	23689.54	35694.44
西藏	200606	10464.09	9865.09	0.00	599.01	0.00
陕西	200606	628667.22	156225.27	428463.05	15981.39	27997.51
甘肃	200606	306648.29	82539.94	201574.50	7115.41	15418.45
青海	200606	47026.00	23217.19	19742.46	1543.35	2523.00
宁夏	200606	99042.39	32862.00	49131.77	3173.13	13875.48
新疆	200606	494914.46	148102.40	285723.08	16529.17	44559.81
内 蒙 古	200606	382287.70	117707.59	237809.30	13438.27	13332.53
广西	200606	437729.66	142143.48	258671.25	18428.67	18486.26
集团、总公司本级	200606	91292.21	91140.05	48.65	-71.23	174.74
北京	200607	2363729.22	453028.13	1613473.79	43396.68	253830.62
天津	200607	630816.16	150640.40	415288.93	11764.51	53122.32
河北	200607	1546304.16	374875.03	1051193.28	33206.97	87028.89
辽宁	200607	1193032.34	288225.98	815807.56	21771.00	67227.81
大连	200607	394774.05	119611.80	234197.66	9513.22	31451.38
上海	200607	2472054.09	627292.55	1608934.35	54109.94	181717.25
江苏	200607	3234754.55	701962.20	2274717.47	74236.41	183838.47
浙江	200607	1824729.94	607002.50	1076778.59	55259.55	85689.30
宁波	200607	340752.43	156333.03	156601.39	9479.53	18338.47
福建	200607	889311.34	234439.67	562105.59	24794.62	67971.45
厦门	200607	162069.38	55205.58	82161.56	5935.58	18766.67
山东	200607	1967319.07	510328.82	1289173.63	44230.87	123585.74
青岛	200607	356739.17	119841.47	190135.26	8274.77	38487.67
广东	200607	2762559.16	768051.61	1723826.15	92413.73	178267.66
深圳	200607	770974.86	324455.09	366257.76	33016.35	47245.66
海南	200607	107842.98	43405.20	56442.61	3008.05	4987.12
山西	200607	900802.72	222136.29	629578.54	17078.65	32009.25
吉林	200607	565759.18	129909.04	398186.66	12563.26	25100.22
黑 龙 江	200607	1020822.86	175318.95	787855.90	18345.43	39302.58
安徽	200607	1046801.89	226101.95	756196.85	17341.91	47161.18
江西	200607	601157.94	123127.18	429643.27	20545.99	27841.50
河南	200607	1610106.56	288861.08	1203947.58	36849.98	80447.93
湖北	200607	977586.65	240740.26	647804.85	25632.73	63408.80
湖南	200607	898469.16	203482.61	606701.29	34283.89	54001.38
重庆	200607	553001.62	131587.94	366428.18	20280.17	34705.33
四川	200607	1428460.54	353767.00	918065.51	51768.99	104859.03
贵州	200607	300045.23	100941.78	168373.92	17275.48	13454.04
云南	200607	572915.31	212164.62	296023.10	26094.54	38633.05
西藏	200607	12262.59	11557.78	0.00	704.82	0.00
陕西	200607	692526.99	170930.09	473622.60	17069.55	30904.75
甘肃	200607	342913.54	93139.75	224853.52	7960.01	16960.25
青海	200607	51691.32	25268.01	21999.82	1657.75	2765.74
宁夏	200607	110919.84	36439.73	55683.12	3525.95	15271.04
新疆	200607	537128.53	160567.19	310446.68	17911.64	48203.02
内 蒙 古	200607	421881.50	130311.60	261626.85	14974.82	14968.23
广西	200607	482709.28	156369.64	285420.99	20342.09	20576.56
集团、总公司本级	200607	97260.28	96880.66	65.25	73.94	240.42
北京	200608	2664972.87	524676.05	1810529.75	50351.52	279415.55
天津	200608	706331.58	171654.76	464298.10	13100.63	57278.09
河北	200608	1740223.60	422477.35	1184108.93	37151.04	96486.28
辽宁	200608	1321448.76	325555.07	898376.86	24146.00	73370.83
大连	200608	442064.90	134059.72	263309.44	10417.06	34278.68
上海	200608	2785732.54	696183.04	1819999.85	62744.18	206805.47
江苏	200608	3546233.61	798705.00	2461019.22	83460.65	203048.74
浙江	200608	2026997.03	693903.23	1173416.82	62247.92	97429.06
宁波	200608	386455.12	179190.74	176098.72	10909.74	20255.92
福建	200608	999093.62	271173.45	624204.83	27911.79	75803.55
厦门	200608	184322.35	64450.33	92044.00	6831.37	20996.65
山东	200608	2231734.99	577785.04	1466919.14	49448.33	137582.48
青岛	200608	401807.57	134723.76	216357.36	9391.17	41335.28
广东	200608	3121147.63	881525.15	1928860.56	106115.13	204646.79
深圳	200608	870979.65	367953.76	411363.85	37488.59	54173.45
海南	200608	120596.86	48546.35	63313.40	3331.83	5405.28
山西	200608	986875.48	251073.18	682776.23	18269.67	34756.40
吉林	200608	625673.21	142776.99	441425.45	14214.32	27256.45
黑 龙 江	200608	1123945.58	199147.51	861842.26	19808.89	43146.92
安徽	200608	1165854.27	257608.94	835348.65	19115.60	53781.08
江西	200608	663439.54	141221.59	470702.86	21711.70	29803.39
河南	200608	1783755.45	324747.73	1328133.36	41330.91	89543.45
湖北	200608	1077760.56	267718.38	710301.91	28984.05	70756.22
湖南	200608	993582.21	224467.65	671373.64	37891.78	59849.14
重庆	200608	621209.97	151121.03	407864.23	22717.72	39506.99
四川	200608	1608051.03	403476.28	1029275.94	57454.40	117844.41
贵州	200608	333366.09	115388.51	184192.00	18926.77	14858.81
云南	200608	635611.36	237635.07	325221.41	29572.49	43182.39
西藏	200608	14099.64	13305.17	0.00	794.47	0.00
陕西	200608	769014.67	194608.35	521982.69	18648.93	33774.70
甘肃	200608	381364.77	103994.66	249362.69	8999.49	19007.93
青海	200608	57076.22	27975.35	24204.24	1832.53	3064.10
宁夏	200608	126839.58	41095.72	64066.41	4079.97	17597.48
新疆	200608	588153.26	177159.74	338658.21	19576.10	52759.21
内 蒙 古	200608	468884.74	147737.76	287024.58	17019.87	17102.53
广西	200608	534530.67	174227.32	314811.25	22685.82	22806.28
集团、总公司本级	200608	100299.19	99938.81	73.06	43.26	244.06
北京	200609	2973068.73	611854.34	1990070.14	58808.23	312336.03
天津	200609	782154.98	195544.84	507064.59	15570.63	63974.94
河北	200609	1983377.86	482375.55	1350614.60	43135.27	107252.45
辽宁	200609	1483201.94	370664.07	1001131.06	28696.91	82709.90
大连	200609	502126.15	153685.54	294776.63	14197.40	39466.58
上海	200609	3094375.16	781025.70	2010476.12	74197.79	228675.53
江苏	200609	3932458.50	905347.78	2694513.63	98714.94	233882.15
浙江	200609	2303257.98	792524.36	1302589.69	82343.96	125799.97
宁波	200609	441935.66	205211.79	196544.42	15644.73	24534.73
福建	200609	1129672.88	309298.34	698396.05	34131.06	87847.44
厦门	200609	210276.05	75259.83	103885.00	8044.12	23087.11
山东	200609	2546158.26	663789.54	1662090.45	60695.09	159583.18
青岛	200609	453889.19	152677.63	243548.53	11210.57	46452.45
广东	200609	3532916.49	1019662.05	2151822.11	127285.08	234147.24
深圳	200609	990117.29	424750.82	459890.19	44334.17	61142.11
海南	200609	135968.58	53446.56	71178.30	4910.77	6432.94
山西	200609	1113917.52	289571.44	759845.01	22930.65	41570.42
吉林	200609	704537.17	159938.47	496384.90	16461.42	31752.39
黑 龙 江	200609	1270616.73	229445.59	965889.34	24568.89	50712.89
安徽	200609	1306538.08	295664.92	918932.01	25066.91	66874.23
江西	200609	763196.89	163485.30	531003.86	29595.65	39112.07
河南	200609	1995505.65	370225.31	1474904.92	48963.64	101411.78
湖北	200609	1222041.57	300535.14	798639.33	38317.64	84549.46
湖南	200609	1138827.01	254275.41	762033.23	51104.79	71413.58
重庆	200609	697022.82	174915.74	450470.10	27400.18	44236.80
四川	200609	1805039.76	462422.52	1138657.49	69938.33	134021.42
贵州	200609	381246.06	131526.17	205759.39	24086.59	19873.91
云南	200609	726690.35	268319.44	364800.25	41005.00	52565.67
西藏	200609	15803.86	14919.56	0.00	884.30	0.00
陕西	200609	874202.72	222449.03	587598.67	23755.34	40399.68
甘肃	200609	430469.02	118420.65	277676.02	11591.55	22780.80
青海	200609	66070.91	32080.55	27996.67	2361.73	3631.96
宁夏	200609	144769.22	46111.94	72687.16	5523.00	20447.12
新疆	200609	666138.82	199129.92	382540.93	24039.92	60428.05
内 蒙 古	200609	541009.67	168929.89	328004.27	22328.36	21747.15
广西	200609	617282.05	198240.50	353230.20	34335.32	31476.03
集团、总公司本级	200609	115968.25	114730.71	103.24	160.08	974.22
北京	200610	3215964.96	680363.32	2129983.37	65267.89	340350.39
